-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::chunk         0.01%      13.477ms         0.06%     147.229ms      33.522us       0.000us         0.00%       0.000us       0.000us          4392  
autograd::engine::evaluate_function: CudnnBatchNormB...         0.01%      21.422ms         0.06%     139.950ms      95.594us       0.000us         0.00%     358.593ms     244.941us          1464  
                                            aten::index         0.01%      15.730ms         0.06%     136.033ms     371.675us       2.691ms         0.01%       3.057ms       8.352us           366  
                                            aten::split         0.02%      46.923ms         0.05%     133.752ms      30.454us       0.000us         0.00%       0.000us       0.000us          4392  
                                  cudaStreamSynchronize         0.05%     132.421ms         0.05%     132.421ms      71.890us       0.000us         0.00%       0.000us       0.000us          1842  
                                CudnnBatchNormBackward0         0.00%      11.222ms         0.05%     118.528ms      80.962us       0.000us         0.00%     358.593ms     244.941us          1464  
                        torch::autograd::AccumulateGrad         0.01%      24.918ms         0.05%     116.361ms      22.709us       0.000us         0.00%      70.765ms      13.810us          5124  
                        aten::cudnn_batch_norm_backward         0.02%      55.991ms         0.04%     107.306ms      73.296us     358.593ms         1.04%     358.593ms     244.941us          1464  
                                          aten::softmax         0.01%      17.654ms         0.04%     106.250ms      24.192us       0.000us         0.00%      58.120ms      13.233us          4392  
                                       aten::index_put_         0.00%      11.602ms         0.04%     103.279ms      70.546us       0.000us         0.00%       0.000us       0.000us          1464  
                                            aten::slice         0.03%      84.356ms         0.04%     102.056ms       5.688us       0.000us         0.00%       0.000us       0.000us         17942  
                                 aten::_index_put_impl_         0.01%      14.620ms         0.04%      91.677ms      62.621us       0.000us         0.00%       0.000us       0.000us          1464  
                                           aten::narrow         0.02%      36.929ms         0.04%      90.513ms       6.676us       0.000us         0.00%       0.000us       0.000us         13558  
                                             aten::sqrt         0.02%      58.526ms         0.04%      90.273ms      17.618us      48.441ms         0.14%      48.441ms       9.454us          5124  
                                          aten::sigmoid         0.02%      57.993ms         0.04%      89.697ms      20.423us     161.823ms         0.47%     161.823ms      36.845us          4392  
                                         aten::_softmax         0.02%      57.074ms         0.04%      88.596ms      20.172us      58.120ms         0.17%      58.120ms      13.233us          4392  
                                     aten::_unsafe_view         0.03%      65.770ms         0.04%      87.478ms       4.780us       0.000us         0.00%       0.000us       0.000us         18300  
                               aten::cross_entropy_loss         0.00%       3.730ms         0.03%      81.040ms     221.421us       0.000us         0.00%      91.079ms     248.850us           366  
                                       aten::as_strided         0.03%      81.005ms         0.03%      81.005ms       1.074us       0.000us         0.00%       0.000us       0.000us         75394  
                                         aten::addcdiv_         0.02%      46.236ms         0.03%      78.190ms      15.260us      92.726ms         0.27%      92.726ms      18.096us          5124  
                                         aten::addcmul_         0.02%      44.630ms         0.03%      77.953ms      15.213us      66.259ms         0.19%      66.259ms      12.931us          5124  
                                    aten::empty_strided         0.03%      73.825ms         0.03%      73.825ms       5.430us       0.000us         0.00%       0.000us       0.000us         13596  
                                          aten::reshape         0.01%      17.049ms         0.03%      71.043ms      24.263us       0.000us         0.00%        3.022s       1.032ms          2928  
                                       aten::avg_pool2d         0.02%      45.676ms         0.03%      70.864ms      24.202us      71.626ms         0.21%      71.626ms      24.462us          2928  
                                     aten::masked_fill_         0.03%      69.358ms         0.03%      69.358ms      47.376us       0.000us         0.00%       0.000us       0.000us          1464  
                                             aten::div_         0.03%      67.292ms         0.03%      67.292ms      45.964us       0.000us         0.00%       0.000us       0.000us          1464  
                                        cudaMemsetAsync         0.03%      63.022ms         0.03%      63.022ms      10.116us       0.000us         0.00%       0.000us       0.000us          6230  
                                        aten::unsqueeze         0.02%      52.007ms         0.03%      62.419ms       8.518us       0.000us         0.00%       0.000us       0.000us          7328  
autograd::engine::evaluate_function: NllLoss2DBackwa...         0.00%      10.292ms         0.03%      61.850ms     168.989us       0.000us         0.00%      20.980ms      57.322us           366  
                                             aten::sub_         0.02%      58.870ms         0.02%      58.870ms      40.212us       0.000us         0.00%       0.000us       0.000us          1464  
     autograd::engine::evaluate_function: ReluBackward0         0.00%      11.956ms         0.02%      58.730ms      40.116us       0.000us         0.00%     113.312ms      77.399us          1464  
                                        cudaEventRecord         0.02%      58.099ms         0.02%      58.099ms       1.095us       0.000us         0.00%       0.000us       0.000us         53070  
                                            aten::round         0.02%      53.051ms         0.02%      53.051ms      36.237us       0.000us         0.00%       0.000us       0.000us          1464  
                                     NllLoss2DBackward0         0.00%       5.026ms         0.02%      51.558ms     140.869us       0.000us         0.00%      20.980ms      57.322us           366  
                                          ReluBackward0         0.00%       9.720ms         0.02%      46.774ms      31.949us       0.000us         0.00%     113.312ms      77.399us          1464  
                              aten::nll_loss2d_backward         0.00%       9.521ms         0.02%      46.532ms     127.137us      13.659ms         0.04%      20.980ms      57.322us           366  
                                      aten::nll_loss_nd         0.00%       1.611ms         0.02%      43.086ms     117.721us       0.000us         0.00%      22.839ms      62.402us           366  
                                       aten::nll_loss2d         0.00%       1.959ms         0.02%      41.475ms     113.320us       0.000us         0.00%      22.839ms      62.402us           366  
                                        aten::embedding         0.00%       6.392ms         0.02%      40.254ms     109.984us       0.000us         0.00%       6.072ms      16.590us           366  
