-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              optimstep         0.01%       9.355ms        67.92%       51.228s     256.141ms       0.000us         0.00%        1.197s       5.986ms           200  
                               Optimizer.step#Adam.step         2.69%        2.029s        67.90%       51.217s     256.086ms       0.000us         0.00%        1.197s       5.986ms           200  
                                       cudaLaunchKernel        64.58%       48.715s        64.58%       48.715s      90.653us       0.000us         0.00%       0.000us       0.000us        537377  
                                         aten::addcmul_         0.38%     289.364ms        17.97%       13.552s     382.819us     153.691ms         0.24%     153.691ms       4.342us         35400  
                                             aten::add_         1.75%        1.320s        17.56%       13.249s      99.297us     894.567ms         1.40%     894.567ms       6.705us        133423  
                                              aten::div         0.65%     491.193ms        12.71%        9.588s     252.303us     151.363ms         0.24%     151.363ms       3.983us         38000  
                                             segforward         2.69%        2.026s        11.89%        8.971s      44.854ms       0.000us         0.00%       23.015s     115.077ms           200  
                                               lossback         8.65%        6.522s         8.66%        6.530s      32.650ms       0.000us         0.00%     400.000us       2.000us           200  
                                             aten::mul_         0.77%     583.487ms         8.29%        6.250s      88.284us     285.970ms         0.45%     285.970ms       4.039us         70800  
                                             aten::sqrt         0.54%     407.264ms         8.16%        6.156s     173.902us     125.727ms         0.20%     125.727ms       3.552us         35400  
autograd::engine::evaluate_function: ConvolutionBack...         0.26%     193.556ms         4.35%        3.279s     277.916us       0.000us         0.00%       30.258s       2.564ms         11800  
                                   ConvolutionBackward0         0.06%      48.729ms         3.98%        3.000s     254.238us       0.000us         0.00%       30.123s       2.553ms         11800  
                             aten::convolution_backward         2.91%        2.191s         3.91%        2.951s     250.109us       30.123s        46.98%       30.123s       2.553ms         11800  
                                           aten::conv2d         0.05%      37.694ms         2.88%        2.170s     183.918us       0.000us         0.00%       13.341s       1.131ms         11800  
                                      aten::convolution         0.17%     128.064ms         2.83%        2.133s     180.724us       0.000us         0.00%       13.341s       1.131ms         11800  
                                     aten::_convolution         0.13%      95.358ms         2.66%        2.004s     169.871us       0.000us         0.00%       13.341s       1.131ms         11800  
                                aten::cudnn_convolution         1.99%        1.502s         2.53%        1.909s     161.790us       13.341s        20.81%       13.341s       1.131ms         11800  
                                         aten::addcdiv_         0.42%     317.960ms         2.25%        1.697s      47.940us     222.590ms         0.35%     222.590ms       6.288us         35400  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         1.47%        1.109s         1.47%        1.109s       5.546ms       0.000us         0.00%       0.000us       0.000us           200  
                                            aten::empty         1.38%        1.043s         1.41%        1.064s       5.536us       0.000us         0.00%       0.000us       0.000us        192201  
