-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        cudaMemcpyAsync        53.85%        3.916s        53.85%        3.916s      17.174ms       0.000us         0.00%       0.000us       0.000us           228  
                                            aten::index         0.03%       2.270ms        53.21%        3.869s      80.601ms     392.000us         0.01%     952.000us      19.833us            48  
                                          aten::nonzero         0.04%       2.902ms        53.09%        3.860s     160.836ms     536.000us         0.01%     536.000us      22.333us            24  
                                             segforward         2.51%     182.851ms        12.54%     912.055ms      76.005ms       0.000us         0.00%        1.398s     116.535ms            12  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...        12.34%     896.960ms        12.34%     896.997ms      37.375ms       0.000us         0.00%       0.000us       0.000us            24  
                                          cudaHostAlloc        10.42%     757.705ms        10.42%     757.705ms      10.824ms       0.000us         0.00%       0.000us       0.000us            70  
                                           aten::conv2d         0.06%       4.459ms         6.28%     456.304ms     322.249us       0.000us         0.00%        1.603s       1.132ms          1416  
                                      aten::convolution         0.11%       8.257ms         6.21%     451.845ms     319.100us       0.000us         0.00%        1.603s       1.132ms          1416  
                                     aten::_convolution         0.16%      11.323ms         6.10%     443.588ms     313.268us       0.000us         0.00%        1.603s       1.132ms          1416  
                                aten::cudnn_convolution         4.53%     329.613ms         5.94%     432.265ms     305.272us        1.603s        33.29%        1.603s       1.132ms          1416  
                                       cudaLaunchKernel         4.76%     345.905ms         4.76%     345.905ms      20.018us       0.000us         0.00%       0.000us       0.000us         17280  
                                           aten::linear         0.14%       9.880ms         2.31%     167.828ms     145.684us       0.000us         0.00%     280.526ms     243.512us          1152  
                                            aten::clone         0.15%      11.089ms         1.91%     138.844ms      74.169us       0.000us         0.00%     654.533ms     349.644us          1872  
                                       aten::batch_norm         0.07%       5.433ms         1.86%     135.392ms      95.616us       0.000us         0.00%     186.768ms     131.898us          1416  
                           aten::_batch_norm_impl_index         0.07%       5.311ms         1.79%     129.959ms      91.779us       0.000us         0.00%     186.768ms     131.898us          1416  
                                       aten::contiguous         0.09%       6.580ms         1.78%     129.438ms      72.393us       0.000us         0.00%     255.357ms     142.817us          1788  
                                            aten::copy_         0.39%      28.300ms         1.73%     125.929ms      64.381us     670.331ms        13.92%     670.331ms     342.705us          1956  
                                 aten::cudnn_batch_norm         0.58%      42.089ms         1.71%     124.648ms      88.028us     186.768ms         3.88%     186.768ms     131.898us          1416  
                                           aten::matmul         0.19%      13.881ms         1.63%     118.793ms      98.994us       0.000us         0.00%     342.734ms     285.612us          1200  
                                               aten::mm         0.78%      56.362ms         1.39%     100.983ms      83.319us     368.451ms         7.65%     368.451ms     304.002us          1212  
