-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        one epoch total         7.27%       38.083s        99.04%      518.902s      518.902s       0.000us         0.00%      271.101s      271.101s             1  
                                        cudaMemcpyAsync        71.51%      374.664s        71.51%      374.664s      18.831ms       0.000us         0.00%       0.000us       0.000us         19896  
                                            aten::index         0.05%     269.509ms        69.97%      366.595s      83.015ms      43.256ms         0.01%      94.234ms      21.339us          4416  
                                          aten::nonzero         0.05%     280.577ms        69.81%      365.732s     165.640ms      48.770ms         0.01%      48.770ms      22.088us          2208  
                                           aten::conv2d         0.19%     983.676ms         5.33%       27.929s     214.388us       0.000us         0.00%      151.488s       1.163ms        130272  
                                      aten::convolution         0.27%        1.413s         5.14%       26.945s     206.837us       0.000us         0.00%      151.488s       1.163ms        130272  
                                     aten::_convolution         0.28%        1.469s         4.87%       25.532s     195.989us       0.000us         0.00%      151.488s       1.163ms        130272  
                                aten::cudnn_convolution         3.84%       20.129s         4.59%       24.063s     184.715us      151.488s        33.60%      151.488s       1.163ms        130272  
                                       cudaLaunchKernel         2.86%       15.008s         2.86%       15.008s       9.447us       0.000us         0.00%       0.000us       0.000us       1588687  
                                           aten::linear         0.21%        1.116s         2.74%       14.362s     135.514us       0.000us         0.00%       25.786s     243.301us        105984  
                                       aten::batch_norm         0.14%     736.574ms         2.36%       12.360s      94.878us       0.000us         0.00%       17.150s     131.647us        130272  
                           aten::_batch_norm_impl_index         0.14%     750.819ms         2.22%       11.623s      89.224us       0.000us         0.00%       17.150s     131.647us        130272  
                                 aten::cudnn_batch_norm         0.95%        4.975s         2.08%       10.873s      83.460us       17.150s         3.80%       17.150s     131.647us        130272  
                                           aten::matmul         0.32%        1.656s         1.83%        9.574s      86.723us       0.000us         0.00%       31.490s     285.237us        110400  
                                             aten::item         0.01%      42.987ms         1.79%        9.358s       1.059ms       0.000us         0.00%       6.629ms       0.750us          8834  
                              aten::_local_scalar_dense         0.01%      56.305ms         1.78%        9.315s       1.054ms       6.629ms         0.00%       6.629ms       0.750us          8834  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         1.55%        8.144s         1.56%        8.148s       3.687ms       0.000us         0.00%       0.000us       0.000us          2210  
                                       aten::contiguous         0.10%     549.890ms         1.55%        8.121s      49.368us       0.000us         0.00%       23.743s     144.339us        164496  
                                            aten::clone         0.29%        1.507s         1.54%        8.066s      46.836us       0.000us         0.00%       60.402s     350.720us        172224  
                                            aten::empty         1.35%        7.064s         1.35%        7.077s       6.398us       0.000us         0.00%       0.000us       0.000us       1106216  
