-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        cudaMemcpyAsync        58.26%        2.443s        58.26%        2.443s      23.953ms       0.000us         0.00%       0.000us       0.000us           102  
                                            aten::index         0.02%     958.000us        58.02%        2.433s     121.643ms     163.000us         0.01%     401.000us      20.050us            20  
                                          miou-slicing2         0.02%     663.000us        57.89%        2.428s     242.775ms       0.000us         0.00%     383.000us      38.300us            10  
                                          aten::nonzero         0.03%       1.169ms        57.85%        2.426s     242.586ms     228.000us         0.01%     228.000us      22.800us            10  
                                             segforward         2.89%     121.265ms        17.68%     741.426ms      74.143ms       0.000us         0.00%        1.169s     116.878ms            10  
                                          cudaHostAlloc        11.64%     488.014ms        11.64%     488.014ms      12.842ms       0.000us         0.00%       0.000us       0.000us            38  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         9.03%     378.547ms         9.03%     378.559ms      37.856ms       0.000us         0.00%       0.000us       0.000us            10  
                                           aten::conv2d         0.04%       1.832ms         7.43%     311.623ms     528.175us       0.000us         0.00%     677.055ms       1.148ms           590  
                                      aten::convolution         0.08%       3.168ms         7.39%     309.791ms     525.069us       0.000us         0.00%     677.055ms       1.148ms           590  
                                     aten::_convolution         0.10%       4.140ms         7.31%     306.623ms     519.700us       0.000us         0.00%     677.055ms       1.148ms           590  
                                aten::cudnn_convolution         5.56%     233.137ms         7.21%     302.483ms     512.683us     677.055ms        23.77%     677.055ms       1.148ms           590  
                                       cudaLaunchKernel         3.28%     137.378ms         3.28%     137.378ms      16.790us       0.000us         0.00%       0.000us       0.000us          8182  
                                           aten::linear         0.36%      15.172ms         1.72%      71.946ms     149.887us       0.000us         0.00%     118.609ms     247.102us           480  
                                       aten::batch_norm         0.06%       2.532ms         1.44%      60.458ms     102.471us       0.000us         0.00%      91.459ms     155.015us           590  
                           aten::_batch_norm_impl_index         0.05%       2.132ms         1.38%      57.926ms      98.180us       0.000us         0.00%      91.459ms     155.015us           590  
                                 aten::cudnn_batch_norm         0.43%      18.194ms         1.33%      55.794ms      94.566us      91.459ms         3.21%      91.459ms     155.015us           590  
                                            aten::empty         0.78%      32.507ms         1.08%      45.134ms       7.834us       0.000us         0.00%       0.000us       0.000us          5761  
                                             aten::add_         0.56%      23.656ms         1.07%      44.910ms      26.141us      26.122ms         0.92%      26.122ms      15.205us          1718  
                                           aten::matmul         0.18%       7.555ms         1.02%      42.907ms      85.814us       0.000us         0.00%     144.666ms     289.332us           500  
                                            aten::copy_         0.26%      11.060ms         1.00%      42.115ms      50.619us     376.452ms        13.22%     376.452ms     452.466us           832  
