-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        cudaMemcpyAsync        59.77%        2.710s        59.77%        2.710s      24.418ms       0.000us         0.00%       0.000us       0.000us           111  
                                                   miou         0.05%       2.446ms        59.23%        2.686s     244.175ms       0.000us         0.00%      33.512ms       3.047ms            11  
                                            aten::index         0.03%       1.171ms        59.09%        2.679s     121.790ms     189.000us         0.01%     447.000us      20.318us            22  
                                          aten::nonzero         0.03%       1.385ms        58.98%        2.674s     243.134ms     247.000us         0.01%     247.000us      22.455us            11  
                                             segforward         3.36%     152.311ms        19.55%     886.446ms      80.586ms       0.000us         0.00%        1.284s     116.712ms            11  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         9.38%     425.364ms         9.38%     425.383ms      38.671ms       0.000us         0.00%       0.000us       0.000us            11  
                                          cudaHostAlloc         7.77%     352.216ms         7.77%     352.216ms       9.269ms       0.000us         0.00%       0.000us       0.000us            38  
                                           aten::conv2d         0.05%       2.051ms         7.74%     351.154ms     541.069us       0.000us         0.00%     743.241ms       1.145ms           649  
                                      aten::convolution         0.08%       3.704ms         7.70%     349.103ms     537.909us       0.000us         0.00%     743.241ms       1.145ms           649  
                                     aten::_convolution         0.10%       4.691ms         7.62%     345.399ms     532.202us       0.000us         0.00%     743.241ms       1.145ms           649  
                                aten::cudnn_convolution         5.23%     237.202ms         7.51%     340.708ms     524.974us     743.241ms        23.71%     743.241ms       1.145ms           649  
                                       cudaLaunchKernel         3.07%     139.280ms         3.07%     139.280ms      15.477us       0.000us         0.00%       0.000us       0.000us          8999  
                                           aten::linear         0.09%       4.112ms         2.28%     103.517ms     196.055us       0.000us         0.00%     130.501ms     247.161us           528  
                                       aten::batch_norm         0.06%       2.922ms         1.60%      72.657ms     111.952us       0.000us         0.00%     100.602ms     155.011us           649  
                           aten::_batch_norm_impl_index         0.05%       2.486ms         1.54%      69.735ms     107.450us       0.000us         0.00%     100.602ms     155.011us           649  
                                 aten::cudnn_batch_norm         0.46%      20.658ms         1.48%      67.249ms     103.619us     100.602ms         3.21%     100.602ms     155.011us           649  
                                           aten::matmul         0.13%       5.944ms         1.40%      63.490ms     115.436us       0.000us         0.00%     159.098ms     289.269us           550  
                                             aten::add_         0.59%      26.830ms         1.35%      61.330ms      32.433us      28.800ms         0.92%      28.800ms      15.230us          1891  
                                            aten::empty         0.80%      36.107ms         1.29%      58.280ms       9.426us       0.000us         0.00%       0.000us       0.000us          6183  
                                               aten::mm         0.87%      39.671ms         1.22%      55.147ms      98.301us     182.647ms         5.83%     182.647ms     325.574us           561  
