-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   loss         0.03%       2.477ms         0.33%      24.106ms       2.411ms       0.000us         0.00%       4.522ms     452.200us            10  
                                          aten::nonzero         0.30%      21.902ms         0.32%      23.756ms       2.376ms     222.000us         0.01%     222.000us      22.200us            10  
                                            aten::zero_         0.02%       1.687ms         0.32%      23.708ms      40.596us       0.000us         0.00%       1.477ms       2.529us           584  
                                            aten::fill_         0.25%      18.610ms         0.30%      22.228ms      52.425us       1.497ms         0.05%       1.497ms       3.531us           424  
     autograd::engine::evaluate_function: ReluBackward0         0.06%       4.236ms         0.29%      21.839ms      40.443us       0.000us         0.00%      19.104ms      35.378us           540  
                               aten::cross_entropy_loss         0.00%     118.000us         0.29%      21.614ms       2.161ms       0.000us         0.00%       4.522ms     452.200us            10  
                                           aten::argmax         0.25%      18.354ms         0.28%      20.372ms       1.019ms     844.000us         0.03%     844.000us      42.200us            20  
                                      aten::nll_loss_nd         0.00%      39.000us         0.27%      19.655ms       1.966ms       0.000us         0.00%     687.000us      68.700us            10  
                                       aten::nll_loss2d         0.00%      51.000us         0.26%      19.616ms       1.962ms       0.000us         0.00%     687.000us      68.700us            10  
                               aten::nll_loss2d_forward         0.02%       1.704ms         0.26%      19.565ms       1.956ms     637.000us         0.02%     687.000us      68.700us            10  
                                               aten::to         0.01%     501.000us         0.24%      17.997ms      25.710us       0.000us         0.00%       6.593ms       9.419us           700  
                                            aten::relu_         0.08%       5.668ms         0.24%      17.699ms      32.776us       0.000us         0.00%      12.042ms      22.300us           540  
                                          ReluBackward0         0.04%       2.787ms         0.24%      17.603ms      32.598us       0.000us         0.00%      19.104ms      35.378us           540  
                                         aten::_to_copy         0.00%     348.000us         0.24%      17.496ms     416.571us       0.000us         0.00%       6.593ms     156.976us            42  
                                       aten::zeros_like         0.02%       1.190ms         0.22%      16.523ms      46.675us       0.000us         0.00%     984.000us       2.780us           354  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.21%      15.241ms         0.21%      15.241ms       4.563us       0.000us         0.00%       0.000us       0.000us          3340  
                               aten::threshold_backward         0.14%      10.170ms         0.20%      14.816ms      27.437us      19.104ms         0.59%      19.104ms      35.378us           540  
                                  cudaDeviceSynchronize         0.17%      12.348ms         0.17%      12.348ms      12.348ms       0.000us         0.00%       0.000us       0.000us             1  
                                       aten::clamp_min_         0.02%       1.370ms         0.16%      12.031ms      22.280us       0.000us         0.00%      12.042ms      22.300us           540  
                                  cudaStreamSynchronize         0.16%      11.980ms         0.16%      11.980ms     146.098us       0.000us         0.00%       0.000us       0.000us            82  
                                              aten::bmm         0.13%       9.463ms         0.16%      11.886ms      49.525us       8.502ms         0.26%       8.502ms      35.425us           240  
                                        aten::clamp_min         0.09%       6.569ms         0.14%      10.661ms      19.743us      12.042ms         0.37%      12.042ms      22.300us           540  
                                    aten::empty_strided         0.04%       3.258ms         0.14%      10.610ms      25.505us       0.000us         0.00%       0.000us       0.000us           416  
                                          aten::softmax         0.01%     518.000us         0.14%      10.384ms      79.877us       0.000us         0.00%       5.608ms      43.138us           130  
                                         aten::_softmax         0.05%       3.649ms         0.13%       9.866ms      75.892us       3.887ms         0.12%       5.608ms      43.138us           130  
                                              sendtodev         0.01%     495.000us         0.13%       9.616ms     961.600us       0.000us         0.00%       6.545ms     654.500us            10  
                                        cudaMemsetAsync         0.12%       9.013ms         0.12%       9.013ms      15.868us       0.000us         0.00%       0.000us       0.000us           568  
                                        cudaEventRecord         0.11%       8.275ms         0.11%       8.275ms       2.687us       0.000us         0.00%       0.000us       0.000us          3080  
                                             aten::view         0.09%       6.965ms         0.09%       6.965ms       2.197us       0.000us         0.00%       0.000us       0.000us          3170  
                                              aten::mul         0.06%       4.749ms         0.09%       6.883ms      28.679us      10.462ms         0.32%      10.462ms      43.592us           240  
                                          aten::sigmoid         0.03%       2.392ms         0.08%       5.763ms      48.025us       4.296ms         0.13%       4.296ms      35.800us           120  
                                                aten::t         0.04%       2.827ms         0.07%       4.925ms       9.657us       0.000us         0.00%       0.000us       0.000us           510  
                                        aten::transpose         0.05%       3.384ms         0.06%       4.785ms       4.311us       0.000us         0.00%       0.000us       0.000us          1110  
                                            aten::histc         0.03%       2.075ms         0.06%       4.653ms     155.100us      29.605ms         0.92%      29.668ms     988.933us            30  
                                         softmax-argmax         0.01%     461.000us         0.06%       4.618ms     461.800us       0.000us         0.00%       4.789ms     478.900us            10  
                                          aten::reshape         0.01%     520.000us         0.06%       4.571ms      57.138us       0.000us         0.00%     166.702ms       2.084ms            80  
                                        aten::embedding         0.00%     202.000us         0.06%       4.474ms     447.400us       0.000us         0.00%     176.000us      17.600us            10  
                                     aten::index_select         0.04%       2.713ms         0.05%       3.940ms     394.000us     176.000us         0.01%     176.000us      17.600us            10  
                                            miou-histc1         0.01%     660.000us         0.05%       3.915ms     391.500us       0.000us         0.00%       7.927ms     792.700us            10  
autograd::engine::evaluate_function: AvgPool2DBackwa...         0.01%     753.000us         0.05%       3.688ms      46.100us       0.000us         0.00%      12.257ms     153.213us            80  
                               aten::upsample_nearest2d         0.03%       1.936ms         0.05%       3.503ms     116.767us       8.931ms         0.28%       8.931ms     297.700us            30  
                                            aten::chunk         0.00%     336.000us         0.04%       3.288ms      27.400us       0.000us         0.00%       0.000us       0.000us           120  
                                           miou-slicing         0.01%     414.000us         0.04%       3.240ms     324.000us       0.000us         0.00%     185.000us      18.500us            10  
                                       aten::avg_pool2d         0.03%       1.861ms         0.04%       3.058ms      38.225us       3.650ms         0.11%       3.650ms      45.625us            80  
                                            aten::split         0.02%       1.153ms         0.04%       2.952ms      24.600us       0.000us         0.00%       0.000us       0.000us           120  
                                     AvgPool2DBackward0         0.00%     312.000us         0.03%       2.564ms      32.050us       0.000us         0.00%      10.788ms     134.850us            80  
                              aten::avg_pool2d_backward         0.02%       1.542ms         0.03%       2.252ms      28.150us      10.788ms         0.33%      10.788ms     134.850us            80  
                                     aten::_unsafe_view         0.02%       1.478ms         0.03%       2.180ms       4.360us       0.000us         0.00%       0.000us       0.000us           500  
                              cudaStreamCreateWithFlags         0.03%       2.055ms         0.03%       2.055ms     128.438us       0.000us         0.00%       0.000us       0.000us            16  
                                       aten::as_strided         0.03%       1.990ms         0.03%       1.990ms       1.157us       0.000us         0.00%       0.000us       0.000us          1720  
autograd::engine::evaluate_function: NllLoss2DBackwa...         0.00%     277.000us         0.03%       1.868ms     186.800us       0.000us         0.00%     774.000us      77.400us            10  
                                      aten::log_softmax         0.00%      79.000us         0.02%       1.841ms     184.100us       0.000us         0.00%       3.835ms     383.500us            10  
       autograd::engine::evaluate_function: MmBackward0         0.00%     154.000us         0.02%       1.813ms     181.300us       0.000us         0.00%      21.225ms       2.123ms            10  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 7.406s
Self CUDA time total: 3.228s
